"","GISJOIN","State","H_Units","RW_Wells","NHU_Wells","DR_RW","DR_NHU","predicted","residuals"
"1","G29009907011026","Missouri",397,316.944705180568,295,0.7983,0.7431,0.730298223121316,0.0680017768786461
"2","G29009907010005","Missouri",461,100.497569080742,116,0.218,0.2516,0.243406492817679,-0.0254064928173465
"3","G29009907010001","Missouri",652,369.532302720879,408,0.5668,0.6258,0.614098019734507,-0.0472980197345002
"4","G29009907005022","Missouri",261,256.239901576704,205,0.9818,0.7854,0.772201621273592,0.209598378726417
"5","G29009907003043","Missouri",1141,58.7061966580345,54,0.0515,0.0473,0.0410219953588128,0.0104780046411843
"6","G29009907006051","Missouri",369,211.603688931961,257,0.5735,0.6965,0.684135141468926,-0.110635141468918
"7","G29009907013003","Missouri",331,109.047905548862,123,0.3294,0.3716,0.362281381192931,-0.0328813811929288
"8","G29009907002082","Missouri",434,29.0529447009388,32,0.0669,0.0737,0.0671744708013682,-0.000274470801370725
"9","G29009907001095","Missouri",455,43.1609009922938,132,0.0949,0.2901,0.281545519504739,-0.186645519504738
"10","G29009907002081","Missouri",632,17.5816483794322,51,0.0278,0.0807,0.0741088392899246,-0.046308839289927
"11","G29007909604003","Missouri",357,0.00441496187782103,0,0,0,-0.00583452314243242,0.00583452314242864
"12","G29007909601002","Missouri",310,4.6364260356173,3,0.015,0.0097,0.00377453033456712,0.0112254696654292
"13","G29015304702001","Missouri",516,537.059668593793,489,1.0408,0.9477,0.932979907801121,0.107820092198892
"14","G29015304701005","Missouri",470,155.906665265948,148,0.3317,0.3149,0.306112996435625,0.0255870035643767
"15","G29009907001103","Missouri",1282,15.0666667630418,27,0.0118,0.0211,0.0150676447302161,-0.00326764473021948
"16","G29018902109253","Missouri",697,0,0,0,0,-0.00583452314243242,0.00583452314242864
"17","G29018902120013","Missouri",443,0,0,0,0,-0.00583452314243242,0.00583452314242864
"18","G29018902123004","Missouri",356,0.986149564481961,0,0.0028,0,-0.00583452314243242,0.00863452314242864
"19","G29018902122001","Missouri",533,0,0,0,0,-0.00583452314243242,0.00583452314242864
"20","G29018902179411","Missouri",381,0.165570619288159,0,4e-04,0,-0.00583452314243242,0.00623452314242866
"21","G29018902204421","Missouri",1069,0.413786331665763,0,4e-04,0,-0.00583452314243242,0.00623452314242866
"22","G29018902205013","Missouri",615,0,0,0,0,-0.00583452314243242,0.00583452314242864
"23","G29018902132032","Missouri",1233,0.0564624914602343,0,0,0,-0.00583452314243242,0.00583452314242864
"24","G29018902147005","Missouri",600,0,0,0,0,-0.00583452314243242,0.00583452314242864
"25","G29018902180121","Missouri",915,0.0171768150847422,0,0,0,-0.00583452314243242,0.00583452314242864
"26","G29018902205012","Missouri",956,0,0,0,0,-0.00583452314243242,0.00583452314242864
"27","G29018902168003","Missouri",849,0,0,0,0,-0.00583452314243242,0.00583452314242864
"28","G29018902162002","Missouri",303,0,0,0,0,-0.00583452314243242,0.00583452314242864
"29","G29018902132031","Missouri",827,1.00356600746211,0,0.0012,0,-0.00583452314243242,0.00703452314242865
"30","G29018902114011","Missouri",873,1,0,0.0011,0,-0.00583452314243242,0.00693452314242863
"31","G29018902216272","Missouri",766,87.3446132868366,50,0.114,0.0653,0.0588532286151006,0.0551467713848968
"32","G29018902179314","Missouri",848,5.59828166143001,9,0.0066,0.0106,0.00466609199738152,0.0019339080026149
"33","G29018902147004","Missouri",392,0,0,0,0,-0.00583452314243242,0.00583452314242864
"34","G29018902185001","Missouri",291,0,0,0,0,-0.00583452314243242,0.00583452314242864
"35","G29018902205011","Missouri",1041,0,0,0,0,-0.00583452314243242,0.00583452314242864
"36","G29018902205022","Missouri",347,0,0,0,0,-0.00583452314243242,0.00583452314242864
"37","G29018902175002","Missouri",392,0,0,0,0,-0.00583452314243242,0.00583452314242864
"38","G29018902151442","Missouri",891,0.222200873772608,1,2e-04,0.0011,-0.00474483666565927,0.00494483666565554
"39","G29018902121013","Missouri",407,0,0,0,0,-0.00583452314243242,0.00583452314242864
"40","G29018902121015","Missouri",259,0,0,0,0,-0.00583452314243242,0.00583452314242864
"41","G29018902184013","Missouri",416,0,0,0,0,-0.00583452314243242,0.00583452314242864
"42","G29018902179432","Missouri",260,2.12581607219659,7,0.0082,0.0269,0.0208132643350199,-0.0126132643350232
"43","G29018902146012","Missouri",567,0,0,0,0,-0.00583452314243242,0.00583452314242864
"44","G29018902189005","Missouri",341,0,0,0,0,-0.00583452314243242,0.00583452314242864
"45","G29018902179433","Missouri",351,4.86775258909536,11,0.0139,0.0313,0.0251720102421125,-0.0112720102421157
"46","G29018902179321","Missouri",1286,16.7416048160047,21,0.013,0.0163,0.010312649195206,0.00268735080479052
"47","G29008309503003","Missouri",564,261.928057580347,331,0.4644,0.5869,0.57556274341953,-0.111162743419523
"48","G29018902206012","Missouri",1029,11.8162615976851,14,0.0115,0.0136,0.00763796420676281,0.00386203579323366
