GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,SMSAA,URB_AREAA,BLOCKA,CDA,AREANAME,CF8001,CF8002,CF8003,CF9001,CF9002,CF9003
"G0100010","1970","Alabama","01","Autauga","001",,,,,,,,,"Autauga",5732,389,1257,5400,342,1054
"G0100030","1970","Alabama","01","Baldwin","003",,,,,"5160",,,,"Baldwin",18283,1198,1355,15551,1024,1146
"G0100050","1970","Alabama","01","Barbour","005",,,,,,,,,"Barbour",5060,733,1597,4763,675,1376
"G0100070","1970","Alabama","01","Bibb","007",,,,,,,,,"Bibb",2885,546,1045,2711,479,830
"G0100090","1970","Alabama","01","Blount","009",,,,,,,,,"Blount",7129,1114,962,6766,995,681
"G0100110","1970","Alabama","01","Bullock","011",,,,,,,,,"Bullock",1932,337,1434,1779,314,1243
"G0100130","1970","Alabama","01","Butler","013",,,,,,,,,"Butler",4833,908,1388,4650,835,1184
"G0100150","1970","Alabama","01","Calhoun","015",,,,,,,,,"Calhoun",30086,1580,882,28538,1403,716
"G0100170","1970","Alabama","01","Chambers","017",,,,,,,,,"Chambers",9374,903,1692,8973,799,1436
"G0100190","1970","Alabama","01","Cherokee","019",,,,,,,,,"Cherokee",4234,425,716,3918,391,570
"G0100210","1970","Alabama","01","Chilton","021",,,,,,,,,"Chilton",6911,972,1118,6350,824,845
"G0100230","1970","Alabama","01","Choctaw","023",,,,,,,,,"Choctaw",3211,481,1575,2972,429,1273
"G0100250","1970","Alabama","01","Clarke","025",,,,,,,,,"Clarke",5599,705,1946,5231,614,1763
"G0100270","1970","Alabama","01","Clay","027",,,,,,,,,"Clay",3082,419,793,2974,363,611
"G0100290","1970","Alabama","01","Cleburne","029",,,,,,,,,"Cleburne",2762,391,474,2644,362,360
"G0100310","1970","Alabama","01","Coffee","031",,,,,,,,,"Coffee",9955,957,562,9347,851,469
"G0100330","1970","Alabama","01","Colbert","033",,,,,,,,,"Colbert",14352,655,965,13662,577,810
"G0100350","1970","Alabama","01","Conecuh","035",,,,,,,,,"Conecuh",3176,608,1379,2964,530,1171
"G0100370","1970","Alabama","01","Coosa","037",,,,,,,,,"Coosa",2722,352,777,2258,268,618
"G0100390","1970","Alabama","01","Covington","039",,,,,,,,,"Covington",10270,1465,705,9522,1211,475
"G0100410","1970","Alabama","01","Crenshaw","041",,,,,,,,,"Crenshaw",3077,656,927,2916,576,734
"G0100430","1970","Alabama","01","Cullman","043",,,,,,,,,"Cullman",14817,1105,1202,14250,1003,967
"G0100450","1970","Alabama","01","Dale","045",,,,,,,,,"Dale",13681,649,440,12989,559,361
"G0100470","1970","Alabama","01","Dallas","047",,,,,,,,,"Dallas",12216,1163,3409,11429,1108,3074
"G0100490","1970","Alabama","01","DeKalb","049",,,,,,,,,"De Kalb",12204,917,1482,11634,800,1067
"G0100510","1970","Alabama","01","Elmore","051",,,,,"5240",,,,"Elmore",9088,695,1613,7733,568,1342
"G0100530","1970","Alabama","01","Escambia","053",,,,,,,,,"Escambia",8527,1008,1260,8078,876,1009
"G0100550","1970","Alabama","01","Etowah","055",,,,,"2880",,,,"Etowah",29239,1795,943,27896,1604,741
"G0100570","1970","Alabama","01","Fayette","057",,,,,,,,,"Fayette",4057,648,1087,3828,602,793
"G0100590","1970","Alabama","01","Franklin","059",,,,,,,,,"Franklin",6845,623,881,6525,520,653
"G0100610","1970","Alabama","01","Geneva","061",,,,,,,,,"Geneva",6387,887,380,6055,714,290
"G0100630","1970","Alabama","01","Greene","063",,,,,,,,,"Greene",1487,277,1612,1322,259,1366
"G0100650","1970","Alabama","01","Hale","065",,,,,,,,,"Hale",2380,432,1966,2185,404,1688
"G0100670","1970","Alabama","01","Henry","067",,,,,,,,,"Henry",3386,572,738,3039,495,569
"G0100690","1970","Alabama","01","Houston","069",,,,,,,,,"Houston",17216,1350,694,15950,1132,518
"G0100710","1970","Alabama","01","Jackson","071",,,,,,,,,"Jackson",10493,870,1573,9969,790,1255
"G0100730","1970","Alabama","01","Jefferson","073",,,,,"1000",,,,"Jefferson",201494,7758,3441,193620,7096,2913
"G0100750","1970","Alabama","01","Lamar","075",,,,,,,,,"Lamar",3812,575,754,3634,501,537
"G0100770","1970","Alabama","01","Lauderdale","077",,,,,,,,,"Lauderdale",20035,711,1383,19071,619,1089
"G0100790","1970","Alabama","01","Lawrence","079",,,,,,,,,"Lawrence",6231,455,1766,5962,398,1448
"G0100810","1970","Alabama","01","Lee","081",,,,,,,,,"Lee",16200,878,2068,14984,685,1722
